City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mehamn,NO,2023-01-03 15:07:53,71.0357,27.8492,26.51,93,75,3.44
1,Dongying,CN,2023-01-03 15:07:53,37.4564,118.4856,31.96,48,0,4.63
2,Leh,IN,2023-01-03 15:07:54,34.1667,77.5833,0.95,72,6,3.53
3,Airai,TL,2023-01-03 15:07:54,-8.9266,125.4092,60.13,92,89,3.2
4,Jalu,LY,2023-01-03 15:07:55,29.0331,21.5482,63.36,55,32,11.88
5,Hilo,US,2023-01-03 15:07:55,19.7297,-155.09,68.25,78,100,5.75
6,Guarda,PT,2023-01-03 15:07:55,40.5373,-7.2658,47.23,60,5,4.56
7,Ushuaia,AR,2023-01-03 15:07:56,-54.8,-68.3,46.06,71,75,28.77
8,Boyolangu,ID,2023-01-03 15:07:56,-8.1181,111.8935,76.14,86,100,4.43
9,Provideniya,RU,2023-01-03 15:07:57,64.3833,-173.3,-6.68,94,100,8.3
10,Raudeberg,NO,2023-01-03 15:07:57,61.9875,5.1352,38.07,71,13,12.41
11,San Quintin,MX,2023-01-03 15:07:58,30.4833,-115.95,55.58,69,99,4.83
12,Gazojak,TM,2023-01-03 15:07:58,41.1875,61.4036,47.21,69,100,10.87
13,Mataura,NZ,2023-01-03 15:07:58,-46.1927,168.8643,56.71,87,100,1.3
14,Acapulco,MX,2023-01-03 15:06:38,16.8634,-99.8901,76.82,69,75,5.75
15,Kodiak,US,2023-01-03 15:07:59,57.79,-152.4072,27.91,100,20,4.61
16,Lokosovo,RU,2023-01-03 15:07:59,61.1333,74.8167,6.03,97,99,11.59
17,Kaitangata,NZ,2023-01-03 15:08:00,-46.2817,169.8464,56.23,98,100,1.54
18,Tazmalt,DZ,2023-01-03 15:08:00,36.3868,4.3989,65.71,25,43,1.72
19,Pisco,PE,2023-01-03 15:04:43,-13.7,-76.2167,68.05,88,75,10.36
20,Praia Da Vitoria,PT,2023-01-03 15:08:01,38.7333,-27.0667,61.75,87,21,20.54
21,Coquimbo,CL,2023-01-03 15:08:01,-29.9533,-71.3436,67.73,68,0,10.36
22,Flinders,AU,2023-01-03 15:08:02,-34.5833,150.8552,70.38,82,77,3.11
23,Albany,US,2023-01-03 15:08:02,42.6001,-73.9662,37.94,91,100,2.1
24,Richards Bay,ZA,2023-01-03 15:08:03,-28.783,32.0377,80.31,71,32,14.23
25,Cape Town,ZA,2023-01-03 15:05:04,-33.9258,18.4232,78.12,71,31,11.99
26,Zhigansk,RU,2023-01-03 15:08:03,66.7697,123.3711,-21.84,96,100,14.63
27,Busselton,AU,2023-01-03 15:08:04,-33.65,115.3333,68.76,56,0,16.91
28,Takhtamygda,RU,2023-01-03 15:08:04,54.1,123.5667,-20.85,98,68,1.21
29,Bilma,NE,2023-01-03 15:08:05,18.6853,12.9164,71.78,18,71,4.9
30,Broome,US,2023-01-03 15:08:05,42.2506,-75.833,48.36,97,100,8.05
31,Nikolskoye,RU,2023-01-03 15:08:05,59.7035,30.7861,30.09,93,100,10.0
32,Harstad,NO,2023-01-03 15:08:06,68.799,16.5293,36.16,68,51,2.51
33,Cherskiy,RU,2023-01-03 15:08:06,68.75,161.3,-48.21,100,76,4.88
34,Kedzierzyn-Kozle,PL,2023-01-03 15:08:07,50.3498,18.2261,47.71,70,98,6.58
35,Iqaluit,CA,2023-01-03 15:08:07,63.7506,-68.5145,-7.31,76,100,3.09
36,Bluff,NZ,2023-01-03 15:08:08,-46.6,168.3333,58.3,93,100,7.27
37,Circleville,US,2023-01-03 15:08:08,39.6006,-82.946,61.54,88,100,22.64
38,Rikitea,PF,2023-01-03 15:08:09,-23.1203,-134.9692,77.95,73,56,11.54
39,Potiskum,NG,2023-01-03 15:08:09,11.7091,11.0694,85.32,20,18,13.27
40,Bagrami,AF,2023-01-03 15:08:10,34.4938,69.2743,30.06,44,0,6.35
